date,time,open,high,low,close,volume
2022.12.09,09:30,1.05728,1.05770,1.05666,1.05734,1228
2022.12.09,09:45,1.05735,1.05756,1.05675,1.05679,1262
2022.12.09,10:00,1.05678,1.05705,1.05635,1.05672,1436
2022.12.09,10:15,1.05673,1.05768,1.05652,1.05672,1204
2022.12.09,10:30,1.05671,1.05717,1.05640,1.05715,1288
2022.12.09,10:45,1.05714,1.05714,1.05608,1.05610,1372
2022.12.09,11:00,1.05609,1.05643,1.05564,1.05604,1355
2022.12.09,11:15,1.05605,1.05660,1.05486,1.05498,1426
2022.12.09,11:30,1.05497,1.05533,1.05466,1.05532,1268
2022.12.09,11:45,1.05533,1.05614,1.05516,1.05572,1051
2022.12.09,12:00,1.05574,1.05688,1.05549,1.05618,1048
2022.12.09,12:15,1.05621,1.05642,1.05525,1.05557,1083
2022.12.09,12:30,1.05558,1.05600,1.05549,1.05567,1014
2022.12.09,12:45,1.05568,1.05595,1.05529,1.05586,1023
2022.12.09,13:00,1.05585,1.05644,1.05511,1.05532,1511
2022.12.09,13:15,1.05533,1.05607,1.05511,1.05588,1161
2022.12.09,13:30,1.05587,1.05607,1.05544,1.05580,1192
2022.12.09,13:45,1.05581,1.05617,1.05532,1.05537,1204
2022.12.09,14:00,1.05536,1.05593,1.05536,1.05580,1406
2022.12.09,14:15,1.05581,1.05660,1.05541,1.05636,1113
2022.12.09,14:30,1.05637,1.05663,1.05561,1.05572,1307
2022.12.09,14:45,1.05572,1.05584,1.05502,1.05561,1453
2022.12.09,15:00,1.05560,1.05602,1.05525,1.05591,1482
2022.12.09,15:15,1.05590,1.05661,1.05554,1.05600,1832
2022.12.09,15:30,1.05585,1.05655,1.05027,1.05432,5114
2022.12.09,15:45,1.05433,1.05629,1.05325,1.05387,3905
2022.12.09,16:00,1.05387,1.05503,1.05251,1.05293,2691
2022.12.09,16:15,1.05294,1.05402,1.05291,1.05371,2248
2022.12.09,16:30,1.05372,1.05419,1.05290,1.05387,3180
2022.12.09,16:45,1.05388,1.05399,1.05300,1.05347,2590
